tags,owner,is_answered,view_count,down_vote_count,up_vote_count,answer_count,score,last_activity_date,creation_date,question_id,link,title,last_edit_date,accepted_answer_id,protected_date,closed_date,closed_reason,bounty_amount,bounty_closes_date
"['python', 'tensorflow', 'prediction', 'imageai']","{'account_id': 22528545, 'reputation': 3, 'user_id': 16720988, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ce075ac9f1e50aca7989ac2774747bb2?s=256&d=identicon&r=PG&f=1', 'display_name': 'SkyeCat', 'link': 'https://stackoverflow.com/users/16720988/skyecat'}",False,50,0,0,1,0,1658241311,1643311624,70884590,https://stackoverflow.com/questions/70884590/only-detect-a-single-person-using-imageai-detection,Only detect a single person using imageai.Detection,,,,,,,
"['python', 'numpy', 'tensorflow']","{'account_id': 25845415, 'reputation': 1, 'user_id': 19580346, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/jHHWs.jpg?s=256&g=1', 'display_name': 'snoopyballz901', 'link': 'https://stackoverflow.com/users/19580346/snoopyballz901'}",False,2,0,0,0,0,1658241231,1658241231,73038849,https://stackoverflow.com/questions/73038849/creating-a-neural-network-with-my-own-dataset-valueerror-failed-to-convert-a,Creating a neural network with my own dataset - ValueError: Failed to convert a NumPy array to a Tensor (Unsupported object type numpy.ndarray),,,,,,,
"['python', 'tensorflow', 'keras', 'conv-neural-network']","{'account_id': 25839280, 'reputation': 1, 'user_id': 19575127, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AFdZucpZS4U50tyqdFu90R3j0HU3La5OYtfShU_RPjstFw=k-s256', 'display_name': 'Animesh Basak', 'link': 'https://stackoverflow.com/users/19575127/animesh-basak'}",True,12,0,0,2,0,1658240983,1658240786,73038738,https://stackoverflow.com/questions/73038738/cnn-model-with-max-pooling-problem-onto-model,CNN model with max pooling Problem onto model,,,,,,,
"['python', 'keras', 'imageai']","{'account_id': 24014430, 'reputation': 31, 'user_id': 17997565, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8af834a2e3fb931362c1b63db8ac8ab4?s=256&d=identicon&r=PG', 'display_name': 'Cande', 'link': 'https://stackoverflow.com/users/17997565/cande'}",False,76,0,0,1,0,1658240747,1643491604,70909867,https://stackoverflow.com/questions/70909867/imageai-keras-cant-load-resnet-model,ImageAI/Keras can&#39;t load ResNet model,1643999579.0,,,,,,
"['python', 'tensorflow', 'image-processing', 'pytorch', 'computer-vision']","{'account_id': 20201905, 'reputation': 11, 'user_id': 18795946, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-KO7sqUPshZg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnhrs98lhyT3ATWSRnLqv55zv7LqQ/s96-c/photo.jpg?sz=256', 'display_name': 'grey', 'link': 'https://stackoverflow.com/users/18795946/grey'}",False,8,0,0,0,0,1658240511,1658240081,73038558,https://stackoverflow.com/questions/73038558/semantic-segmentation-for-video-summarization,Semantic segmentation for video summarization,1658240511.0,,,,,,
"['terminal', 'command', 'pip', 'pytest']","{'account_id': 7395669, 'reputation': 721, 'user_id': 5627695, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/865752a9a53c50582e58857109394032?s=256&d=identicon&r=PG&f=1', 'display_name': 'E. Otero', 'link': 'https://stackoverflow.com/users/5627695/e-otero'}",True,96392,0,53,10,53,1658240278,1457993150,35998992,https://stackoverflow.com/questions/35998992/py-test-command-not-found-but-library-is-installed,"Py.test command not found, but library is installed",1457994302.0,36006909.0,,,,,
"['python', 'tensorflow', 'concatenation', 'tensor', 'shapes']","{'account_id': 25844806, 'reputation': 11, 'user_id': 19579824, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/573604e1fa37ad151250cab3adc9c62a?s=256&d=identicon&r=PG', 'display_name': 'gineco', 'link': 'https://stackoverflow.com/users/19579824/gineco'}",False,12,0,1,2,1,1658239913,1658239457,73038417,https://stackoverflow.com/questions/73038417/concatenate-tensors-with-different-shapes-with-tensorflow,Concatenate tensors with different shapes with tensorflow,,,,,,,
['tensorflow'],"{'account_id': 20938503, 'reputation': 1, 'user_id': 15383155, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-W2X7sfFZXr0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm5FK_V8mSv_-xYGx0Tw0DA8sA3kw/s96-c/photo.jpg?sz=256', 'display_name': 'Bhajesh b', 'link': 'https://stackoverflow.com/users/15383155/bhajesh-b'}",False,7,0,0,0,0,1658239878,1658239878,73038513,https://stackoverflow.com/questions/73038513/tensorflow-object-detection-api-2,Tensorflow Object Detection API 2,,,,,,,
"['python', 'tensorflow', 'machine-learning', 'keras', 'conv-neural-network']","{'account_id': 21437281, 'reputation': 1, 'user_id': 15792548, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-XKZ_fSS8JWg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckDHBTlBu04egCOOvtGL0mOyEb7GQ/s96-c/photo.jpg?sz=256', 'display_name': 'melissa ', 'link': 'https://stackoverflow.com/users/15792548/melissa'}",False,23,1,0,0,-1,1658239223,1658143486,73021565,https://stackoverflow.com/questions/73021565/how-do-i-fix-the-graph-execution-error-error,How do I fix the &quot;Graph execution error: &quot; error?,1658239223.0,,,,,,
"['python', 'tensorflow', 'machine-learning', 'deployment', 'model']","{'account_id': 25444207, 'reputation': 3, 'user_id': 19246617, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GiURmsb_hfhda-F-pjmYLAu1y9vE_b21ScVSZHX_A=k-s256', 'display_name': 'Nicol&#225;s', 'link': 'https://stackoverflow.com/users/19246617/nicol%c3%a1s'}",False,10,0,0,0,0,1658239152,1658239152,73038333,https://stackoverflow.com/questions/73038333/machine-learning-saving-and-loading-model-problem,Machine learning saving and loading model problem,,,,,,,
"['python', 'tensorflow']","{'account_id': 8767254, 'reputation': 1004, 'user_id': 6555209, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://lh3.googleusercontent.com/-YeR2TZ3wNbE/AAAAAAAAAAI/AAAAAAAABFY/My-ET8irgeI/photo.jpg?sz=256', 'display_name': 'Fabrizio', 'link': 'https://stackoverflow.com/users/6555209/fabrizio'}",False,125,0,1,1,1,1658238630,1633686872,69493969,https://stackoverflow.com/questions/69493969/cant-load-checkpoint-files-in-tensorflow-oserror-file-signature-not-found,Can&#39;t load checkpoint files in Tensorflow. (OSError: file signature not found),,,,,,,
"['python-3.x', 'machine-learning', 'keras']","{'account_id': 25418657, 'reputation': 3, 'user_id': 19225087, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJyTIg_lOhZSMEcvhSkQEoMjI4h-KVPdQ-t9Aw-K=k-s256', 'display_name': 'Dharambir Maht0', 'link': 'https://stackoverflow.com/users/19225087/dharambir-maht0'}",False,12,0,0,1,0,1658237652,1658227182,73035426,https://stackoverflow.com/questions/73035426/tried-autoencoder-with-my-custom-dataset-but-got-stuck-on-autoencoder-fit,tried autoencoder with my custom dataset but got stuck on autoencoder.fit,1658237652.0,,,,,,
"['python', 'deep-learning']","{'account_id': 24487707, 'reputation': 3, 'user_id': 18405164, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJwhNj9TtVYijJva-AjZxPG1SflfmzSgB9DVSBio=k-s256', 'display_name': 'Eisa Alyaqoub', 'link': 'https://stackoverflow.com/users/18405164/eisa-alyaqoub'}",False,24,0,0,1,0,1658237092,1658226795,73035334,https://stackoverflow.com/questions/73035334/node-binary-crossentropy-cast-cast-string-to-float-is-not-supported,Node: &#39;binary_crossentropy/Cast&#39; Cast string to float is not supported,1658236196.0,,,,,,
"['python', 'tensorflow', 'generator', 'predict']","{'account_id': 15982288, 'reputation': 91, 'user_id': 11816230, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b2dfb53575b4e192fdb4c3ef1494c1ee?s=256&d=identicon&r=PG', 'display_name': 'Alessandro', 'link': 'https://stackoverflow.com/users/11816230/alessandro'}",False,36,0,1,0,1,1658233510,1658178440,73028639,https://stackoverflow.com/questions/73028639/how-to-print-content-of-generator-object-estimator-predict,How to print content of &quot;generator object Estimator.predict&quot;,1658233510.0,,,,,,
"['python', 'tensorflow', 'pytorch', 'data-conversion']","{'account_id': 11819190, 'reputation': 930, 'user_id': 8648710, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7536041c493414ff17060dc0b4ae134c?s=256&d=identicon&r=PG&f=1', 'display_name': 'neel g', 'link': 'https://stackoverflow.com/users/8648710/neel-g'}",False,320,1,1,1,0,1658233375,1638383559,70189513,https://stackoverflow.com/questions/70189513/how-to-easily-convert-a-pytorch-dataloader-to-tf-dataset,How to easily convert a PyTorch dataloader to tf.Dataset?,1638384997.0,,,,,,
"['python', 'tensorflow', 'keras', 'deep-learning']","{'account_id': 1480088, 'reputation': 3262, 'user_id': 1389680, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/3c6479a9de8f5e6b80a35f28457ea66f?s=256&d=identicon&r=PG', 'display_name': 'Robert Pollak', 'link': 'https://stackoverflow.com/users/1389680/robert-pollak'}",False,34,0,0,1,0,1658232959,1658155542,73024232,https://stackoverflow.com/questions/73024232/validation-accuracy-differs-between-last-epoch-and-after-fit,Validation accuracy differs between last epoch and after fit,1658232959.0,,,,,,
"['python', 'csv', 'tensorflow', 'dataset']","{'account_id': 14419405, 'reputation': 51, 'user_id': 10415898, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7c2c664680cd8e32b784ffa5960031cd?s=256&d=identicon&r=PG&f=1', 'display_name': 'M.John', 'link': 'https://stackoverflow.com/users/10415898/m-john'}",False,2319,0,2,1,2,1658232377,1554363333,55510265,https://stackoverflow.com/questions/55510265/how-to-save-a-tensorflow-dataset-to-csv,How to save a Tensorflow dataset to csv?,,,,,,,
"['python', 'keras', 'neural-network', 'lstm', 'one-hot-encoding']","{'account_id': 25501574, 'reputation': 1, 'user_id': 19294706, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d68163533589f968452b89ca935996e2?s=256&d=identicon&r=PG&f=1', 'display_name': 'Guillermo Mu&#241;oz', 'link': 'https://stackoverflow.com/users/19294706/guillermo-mu%c3%b1oz'}",False,44,0,0,2,0,1658230803,1657394429,72924029,https://stackoverflow.com/questions/72924029/im-trying-to-improve-one-hot-encode-to-the-input-of-a-lstm-neural-network-and-i,Im trying to improve one hot encode to the input of a LSTM Neural Network and i get errors about the shape of the input array,1657820559.0,,,,,,
"['python', 'reinforcement-learning', 'agent']","{'account_id': 19562663, 'reputation': 11, 'user_id': 14315579, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GhJOjXsLJbs1yTKlddDt_QCLafut61a7W1iT57vSg=k-s256', 'display_name': 'Sara Hermeler', 'link': 'https://stackoverflow.com/users/14315579/sara-hermeler'}",False,10,0,1,0,1,1658228914,1658228356,73035682,https://stackoverflow.com/questions/73035682/tensorforce-agent-training-with-custom-environment,Tensorforce - Agent Training with Custom Environment,1658228914.0,,,,,,
