,tags,owner,is_answered,view_count,down_vote_count,up_vote_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,link,title,closed_date,accepted_answer_id,closed_reason,bounty_amount,bounty_closes_date,content_license,cluster
0,"['python', 'tensorflow', 'tensorflow2.0']","{'account_id': 19099246, 'reputation': 1, 'user_id': 14698367, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1075250959484316/picture?type=large', 'display_name': 'Namra Rehman', 'link': 'https://stackoverflow.com/users/14698367/namra-rehman'}",False,331,0,0,1,0,1657126001,1614606192,1614606562.0,66423217,https://stackoverflow.com/questions/66423217/attributeerror-module-tensorflow-has-no-attribute-placeholder-with-version,AttributeError: module &#39;tensorflow&#39; has no attribute &#39;placeholder&#39; with version -1,1656951117.7,67432215.35714285,,50.0,1657661021.0,,0
1,"['python', 'tensorflow', 'deep-learning', 'time-series', 'tensorflow-datasets']","{'account_id': 12298896, 'reputation': 12526, 'user_id': 8973620, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/7qt6R.jpg?s=256&g=1', 'display_name': 'Mykola Zotko', 'link': 'https://stackoverflow.com/users/8973620/mykola-zotko'}",False,6,0,0,0,0,1657125972,1657125972,1642626692.1769912,72887190,https://stackoverflow.com/questions/72887190/how-to-feed-windowed-dataset-into-stringlookup-layer-in-tensorflow,How to feed windowed dataset into StringLookup layer in Tensorflow,1656951117.7,67432215.35714285,,50.0,1657661021.0,,0
2,"['python', 'tensorflow', 'tensorflow2.0', 'tf.keras']","{'account_id': 8836373, 'reputation': 35, 'user_id': 8549694, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b7344a0141d4aeae55e7dd0ce7b681d2?s=256&d=identicon&r=PG&f=1', 'display_name': 'LexTron', 'link': 'https://stackoverflow.com/users/8549694/lextron'}",False,10,0,0,0,0,1657125485,1657125485,1642626692.1769912,72887085,https://stackoverflow.com/questions/72887085/tf-function-causes-out-of-scope-error-when-inputs-passed-to-add-loss,tf.function causes out of scope error when inputs passed to add_loss,1656951117.7,67432215.35714285,,50.0,1657661021.0,,0
3,['python'],"{'account_id': 13877281, 'reputation': 869, 'user_id': 10018602, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-nFE-nC2Du6A/AAAAAAAAAAI/AAAAAAAAAK8/N8OGweyD3x4/photo.jpg?sz=256', 'display_name': 'Matt Wilson', 'link': 'https://stackoverflow.com/users/10018602/matt-wilson'}",True,150,1,1,5,0,1657125117,1656720567,1656732788.0,72835581,https://stackoverflow.com/questions/72835581/explain-why-python-virtual-environments-are-better,Explain why Python virtual environments are “better”?,1656749204.0,72836215.0,Opinion-based,50.0,1657661021.0,,0
4,"['python', 'tensorflow', 'tensorflow2.0']","{'account_id': 10699584, 'reputation': 96, 'user_id': 7875444, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-nYm4Qc1FF9U/AAAAAAAAAAI/AAAAAAAACJw/JNgODHNIQYY/photo.jpg?sz=256', 'display_name': 'ablanch5', 'link': 'https://stackoverflow.com/users/7875444/ablanch5'}",True,39,0,0,1,0,1657124754,1657044667,1657124754.0,72873810,https://stackoverflow.com/questions/72873810/how-to-window-tensorflow-dataset-derived-from-a-dictionary,How to Window Tensorflow Dataset derived from a dictionary,1656951117.7,72875971.0,,50.0,1657661021.0,,0
5,"['python', 'tensorflow', 'deep-learning', 'tensorflow-datasets']","{'account_id': 12298896, 'reputation': 12526, 'user_id': 8973620, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/7qt6R.jpg?s=256&g=1', 'display_name': 'Mykola Zotko', 'link': 'https://stackoverflow.com/users/8973620/mykola-zotko'}",True,63,1,2,2,1,1657123891,1657061282,1657123891.0,72876298,https://stackoverflow.com/questions/72876298/combine-two-tensorflow-datasets-with-heterogeneous-data,Combine two Tensorflow Datasets with heterogeneous data,1656951117.7,67432215.35714285,,50.0,1657661021.0,,0
6,"['python', 'tensorflow', 'keras', 'loss-function']","{'account_id': 15809013, 'reputation': 40, 'user_id': 11406744, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/3qjcX.jpg?s=256&g=1', 'display_name': 'nprime496', 'link': 'https://stackoverflow.com/users/11406744/nprime496'}",True,2064,0,0,2,0,1657123667,1607434245,1610985168.0,65199897,https://stackoverflow.com/questions/65199897/weighted-categorical-cross-entropy,Weighted categorical cross entropy,1656951117.7,67432215.35714285,,50.0,1657661021.0,,0
7,"['python', 'artificial-intelligence']","{'account_id': 24267346, 'reputation': 19, 'user_id': 18216019, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJzCX1fCnQin19I2UhDvoAPL4CW9S5nT14OcUMrF=k-s256', 'display_name': 'Pixel Coin', 'link': 'https://stackoverflow.com/users/18216019/pixel-coin'}",False,30,1,0,1,-1,1657123450,1657121949,1642626692.1769912,72886394,https://stackoverflow.com/questions/72886394/making-a-ai-that-guess-the-number-that-the-user-is-thinking-python,Making a AI that guess the number that the user is thinking python,1656951117.7,67432215.35714285,,50.0,1657661021.0,,0
8,"['python', 'tensorflow', 'keras', 'deep-learning', 'conv-neural-network']","{'account_id': 25741358, 'reputation': 1, 'user_id': 19495304, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AItbvmn8dotdSyznGyzFQ0BkFgpjXWC8TnhWSGGpYyhA=k-s256', 'display_name': 'Ajith Ak', 'link': 'https://stackoverflow.com/users/19495304/ajith-ak'}",True,16,0,0,1,0,1657122881,1657115318,1657122412.0,72884736,https://stackoverflow.com/questions/72884736/how-to-solve-model-has-not-yet-been-built-error-in-keras,How to solve &quot;model has not yet been built&quot; error in Keras?,1656951117.7,67432215.35714285,,50.0,1657661021.0,,0
9,"['python', 'python-2.7', 'tensorflow', 'machine-learning', 'keras']","{'account_id': 17199910, 'reputation': 15, 'user_id': 14070180, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3298f91177d1456ee8f8a9266aeedc34?s=256&d=identicon&r=PG&f=1', 'display_name': 'alphanumberic', 'link': 'https://stackoverflow.com/users/14070180/alphanumberic'}",False,35,0,0,0,0,1657122877,1657081351,1657122877.0,72877932,https://stackoverflow.com/questions/72877932/how-to-give-input-to-non-keras-word-embedding-model-from-keras-model-during-trai,How to give input to non-keras word embedding model from Keras model during training and get back output?,1656951117.7,67432215.35714285,,50.0,1657661021.0,,0
11,"['python', 'tensorflow', 'raspberry-pi', 'tensorflow-lite']","{'account_id': 16686443, 'reputation': 320, 'user_id': 12060231, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mB823fZgD79IKiHl4IGyvq6czXV9XbHmT2t-FtS-A=k-s256', 'display_name': 'Justin Priede', 'link': 'https://stackoverflow.com/users/12060231/justin-priede'}",False,88,0,1,0,1,1657119759,1651370688,1651459008.0,72073505,https://stackoverflow.com/questions/72073505/tflite-model-model-buffer-empty,tflite model - model buffer empty,1656951117.7,67432215.35714285,,50.0,1657661021.0,,0
